ID	所属	コミュニティ
2103	第1開発部	3
2102	第4開発部	0
2003	第1開発部	2
2017	第3開発部	1
1117	第2開発部	3
2002	第4開発部	0
1910	第3開発部	1
2008	第3開発部	1
176	第4開発部	0
2012	第1開発部	2
2013	第1開発部	2
23	第1開発部	2
1906	第1開発部	2
1923	第1開発部	2
2001	第1開発部	2
2004	第1開発部	2
201	第2開発部	3
52	第1開発部	3
18	コーポレート	0
226	第4開発部	3
229	第2開発部	3
231	第2開発部	3
227	第2開発部	3
123	第1開発部	2
228	コーポレート	3
41	第3開発部	1
113	第4開発部	0
46	第2開発部	3
803	第4開発部	0
131	第4開発部	0
105	第4開発部	0
910	第1開発部	2
225	第3開発部	1
211	第2開発部	3
230	コーポレート	3
802	第1開発部	2
47	第2開発部	3
1080	第1開発部	2
1607	第1開発部	2
137	第3開発部	1
194	第1開発部	2
99	第1開発部	2
199	第1開発部	0
148	コーポレート	0
114	第3開発部	1
167	第1開発部	2
208	第1開発部	3
187	第2開発部	3
72	第1開発部	2
197	第4開発部	0
95	第1開発部	2
193	第2開発部	3
970	第4開発部	0
20	第1開発部	2
88	第1開発部	2
121	第1開発部	2
817	コーポレート	3
191	第3開発部	1
210	第3開発部	1
213	第4開発部	0
108	第2開発部	3
192	コーポレート	1
178	第1開発部	2
81	第1開発部	2
1002	第1開発部	2
216	第4開発部	3
86	第1開発部	2
1084	第1開発部	2
125	第1開発部	2
19	コーポレート	3
1807	第1開発部	0
155	第2開発部	3
140	第4開発部	2
124	第1開発部	2
139	第3開発部	1
931	コーポレート	2
160	第1開発部	2
809	コーポレート	3
215	第1開発部	3
224	コーポレート	3
1501	第4開発部	0
145	第2開発部	3
128	第3開発部	1
186	第3開発部	1
110	第3開発部	1
174	第1開発部	3
98	コーポレート	0
143	第2開発部	3
132	第2開発部	3
172	第2開発部	3
170	第2開発部	3
169	コーポレート	2
106	コーポレート	3
57	第3開発部	1
21	コーポレート	3
209	第2開発部	3
212	第2開発部	3
217	コーポレート	3
133	第1開発部	2
206	コーポレート	3
223	第2開発部	3
220	第4開発部	3
222	第2開発部	3
219	第1開発部	3
218	第4開発部	3
127	第2開発部	3
115	コーポレート	3
221	第3開発部	1
147	第4開発部	0
35	第4開発部	0
